,city_fuel_economy,mileage,passenger_car,price,franchise_make
152824,14.0,10173.0,0,75998.0,0
244995,15.0,7479.0,0,61945.0,0
121588,15.0,18596.0,0,53995.0,0
169118,16.0,8947.0,1,61455.0,0
178392,30.0,25308.0,1,13505.0,0
37464,13.0,35.0,1,179142.0,0
139027,24.0,15565.0,1,33898.0,0
230447,16.0,3601.0,1,76900.0,0
84076,66.0,10946.0,1,43000.0,0
141684,17.0,9163.0,1,52881.0,0
187329,14.0,25.0,0,122755.0,0
258592,17.0,7998.0,1,49888.0,0
203954,20.0,24729.0,0,65950.0,0
207659,17.0,100.0,1,59790.0,0
